tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
166,2/1/2016 8:26,2/1/2016 8:28,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24563,Subscriber,1992,1
467,2/1/2016 8:27,2/1/2016 8:35,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24511,Subscriber,1987,2
321,2/1/2016 8:28,2/1/2016 8:33,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24635,Subscriber,1976,1
122,2/1/2016 8:28,2/1/2016 8:30,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24620,Subscriber,1984,2
131,2/1/2016 8:28,2/1/2016 8:30,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24426,Subscriber,1980,1
87,2/1/2016 8:29,2/1/2016 8:30,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24435,Subscriber,1990,1
638,2/1/2016 8:33,2/1/2016 8:43,3203,Hamilton Park,40.72759597,-74.04424731,3184,Paulus Hook,40.7141454,-74.0335519,24479,Subscriber,1970,1
104,2/1/2016 8:33,2/1/2016 8:34,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,24703,Subscriber,1972,1
817,2/1/2016 8:36,2/1/2016 8:50,3210,Pershing Field,40.74267714,-74.05178863,3202,Newport PATH,40.7272235,-74.0337589,24676,Subscriber,1990,1
217,2/1/2016 8:37,2/1/2016 8:41,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24615,Subscriber,1956,1
432,2/1/2016 8:39,2/1/2016 8:46,3186,Grove St PATH,40.71958612,-74.04311746,3184,Paulus Hook,40.7141454,-74.0335519,24560,Subscriber,1987,1
558,2/1/2016 8:40,2/1/2016 8:49,3199,Newport Pkwy,40.7287448,-74.0321082,3184,Paulus Hook,40.7141454,-74.0335519,24640,Subscriber,1976,1
361,2/1/2016 8:40,2/1/2016 8:46,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24687,Subscriber,1954,1
177,2/1/2016 8:40,2/1/2016 8:43,3185,City Hall,40.7177325,-74.043845,3211,Newark Ave,40.72152515,-74.04630454,24589,Subscriber,1993,1
193,2/1/2016 8:42,2/1/2016 8:45,3197,North St,40.752559,-74.044725,3198,Heights Elevator,40.74871595,-74.0404433,24586,Subscriber,1984,1
571,2/1/2016 8:43,2/1/2016 8:52,3214,Essex Light Rail,40.7127742,-74.0364857,3199,Newport Pkwy,40.7287448,-74.0321082,24685,Subscriber,1986,2
603,2/1/2016 8:44,2/1/2016 8:54,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24671,Subscriber,1972,2
